name,pos_cycle,Total Negative cycles,Frustration Boolean,plast_2,JSD,no signal FrusB,Frustration RACIPE,no signal FrusR
1229848841,7,6,0.214556936,0.5418,0.946529259,0.206896552,0.503325925,0.497414651
1243656332,5,8,0.25505,0.4712,0.951252625,0.24137931,0.475216117,0.46439156
1249940656,7,6,0.237271875,0.4011,0.960309445,0.232268966,0.50377965,0.502402738
1288183836,5,8,0.25186875,0.3694,0.947946825,0.245624138,0.493328731,0.495196367
134294413,10,3,0.154596875,0.7497,0.960381674,0.146586207,0.488443619,0.490326541
1346868288,7,6,0.173603125,0.4464,0.986256522,0.177506897,0.51795495,0.52260811
1350830508,9,4,0.17195,0.6206,0.990162611,0.162803448,0.455560078,0.452908967
1355885064,10,3,0.1599125,0.6972,0.979245483,0.154344828,0.485319715,0.478916793
1364803602,8,5,0.178816564,0.5595,0.925611619,0.185845365,0.499198793,0.496698889
1376911419,9,4,0.18414375,0.6967,0.763854505,0.169417241,0.448385719,0.445775289
138498829,8,5,0.24248125,0.5061,0.949410719,0.227796552,0.463779147,0.464369848
139545488,7,6,0.242217533,0.4608,0.967219089,0.24137931,0.506870135,0.520774584
147227192,8,5,0.232271875,0.6143,0.977388673,0.226817241,0.509921445,0.509753607
1476545316,5,8,0.293442852,0.2368,0.928766112,0.310344828,0.540192035,0.534663467
1485858856,8,5,0.207534375,0.4889,0.913193317,0.203489655,0.448162839,0.441079425
14877082,7,6,0.235503125,0.5114,0.956330472,0.234862069,0.457086283,0.461830847
1572873344,7,6,0.230325,0.3191,0.967603963,0.221606897,0.54060392,0.535292835
157360179,9,4,0.20865625,0.5898,0.93970963,0.195137931,0.517375794,0.530350498
1620320285,7,6,0.1919875,0.4944,0.960068463,0.201844828,0.493810021,0.505931739
1632207882,7,6,0.172325,0.5861,0.944389763,0.159672414,0.477629473,0.471740515
1629792576,4,9,0.261134375,0.2238,0.959946111,0.245510345,0.521947924,0.526451732
1635781234,7,6,0.1706625,0.6059,0.984343563,0.170482759,0.519592401,0.51874546
1636307346,6,7,0.209305342,0.4399,0.968085184,0.223239418,0.522191533,0.521072822
163702792,8,5,0.21195,0.6086,0.940852178,0.210151724,0.469121613,0.472759035
1680924960,4,9,0.25,0.1911,0.943973937,0.24137931,0.510628793,0.508157845
1663312464,7,6,0.1875,0.2549,0.980846897,0.206896552,0.536672135,0.529697883
1664614673,6,7,0.277669271,0.274,0.784745357,0.2831342,0.512188255,0.526232453
1667334156,10,3,0.167928125,0.75,0.947434283,0.161027586,0.445116341,0.455892251
1669598256,9,4,0.185803125,0.6076,0.967522942,0.177796552,0.508230797,0.507984334
1669742856,10,3,0.16941875,0.727,0.949558129,0.146737931,0.494114071,0.488492284
1677816160,7,6,0.230141194,0.4463,0.918960789,0.24137931,0.504253467,0.501536695
1677826832,4,9,0.287724802,0.2433,0.955343873,0.310344828,0.525359551,0.517422597
1678811848,9,4,0.20244375,0.563,0.967168453,0.193813793,0.464438843,0.45376558
1680218256,6,7,0.265636022,0.235,0.974162471,0.283569694,0.536408559,0.543238329
168027520,7,6,0.219840625,0.3636,0.898991429,0.223006897,0.515946864,0.512832203
1681993772,6,7,0.18655,0.4745,0.973578249,0.195875862,0.48142418,0.476190699
1687756929,6,7,0.23086875,0.3904,0.941962285,0.232613793,0.53144001,0.530779762
169284626,5,8,0.257246665,0.3661,0.871214516,0.275862069,0.536040682,0.54935103
1678260231,8,5,0.2122125,0.5422,0.951847934,0.211913793,0.511909469,0.510712158
1746227332,4,9,0.25,0.2434,0.934393085,0.24137931,0.510596465,0.513955495
1726517248,9,4,0.165859375,0.5412,0.971970235,0.172975862,0.542996556,0.552714148
1711838976,8,5,0.2275625,0.4241,0.969906256,0.225424138,0.488139448,0.490901356
1719747608,11,2,0.157853125,0.7227,0.929781139,0.156062069,0.503880779,0.506281067
172593194,5,8,0.242509375,0.3653,0.888739643,0.249562069,0.51401731,0.512107697
1744875797,5,8,0.192016129,0.4053,0.910321038,0.211879867,0.519672573,0.518781374
1745330242,9,4,0.177703125,0.5157,0.935339319,0.181475862,0.527688415,0.544227536
1749446720,8,5,0.218075,0.4993,0.96577177,0.218793103,0.483455801,0.497541942
1761805578,6,7,0.21650625,0.4865,0.758663997,0.200165517,0.477273568,0.472537482
1762723352,9,4,0.181765625,0.6606,0.91370119,0.176255172,0.458850372,0.451212949
1763709524,4,9,0.333188956,0.2456,0.939608267,0.344827586,0.514726866,0.512039511
176535616,8,5,0.2002375,0.501,0.953223869,0.197965517,0.509831073,0.512513792
17921066,8,5,0.208459375,0.5734,0.848271819,0.2171,0.468077355,0.478037523
1778549786,6,7,0.20558125,0.4845,0.793976744,0.195148276,0.472161028,0.472336668
