"plast","plast_2","JSD","pos_cycle","network","JSD_id"
0.3817,0.4994,0.0563366668269955,5,"Randomization/NRF2",-3
0.2166,0.2981,0.354380725639858,6,"Randomization/NRF2",-2
0.0436,0.1175,0.428958755308056,1,"Randomization/NRF2",-1
0.1701,0.2589,0.21298495082987,6,"Randomization/NRF2",-2
0.1079,0.2058,0.165034917671908,4,"Randomization/NRF2",-2
0.0882,0.2002,0.2273177882382,2,"Randomization/NRF2",-2
0.044,0.1062,0.240973160127834,3,"Randomization/NRF2",-2
0.1255,0.2206,0.141697987533117,4,"Randomization/NRF2",-2
0.0355,0.1101,0.385531420903845,4,"Randomization/NRF2",-1
0.0305,0.1072,0.470425256183733,3,"Randomization/NRF2",-1
0.4819,0.597,0.406794897146046,6,"Randomization/NRF2",-1
0.1405,0.2677,0.500730206782723,5,"Randomization/NRF2",-1
0.0409,0.0899,0.565154967046991,4,"Randomization/NRF2",-1
0.1396,0.2361,0.467338381022037,5,"Randomization/NRF2",-1
0.1516,0.2352,0.488427060972111,5,"Randomization/NRF2",-1
0.1436,0.2297,0.473282571022547,5,"Randomization/NRF2",-1
0.0438,0.0977,0.490102577303235,4,"Randomization/NRF2",-1
0.1436,0.2378,0.446971946660906,5,"Randomization/NRF2",-1
0.0604,0.2761,0.555938290270617,6,"Randomization/NRF2",-1
0.1907,0.3259,0.162989405096323,5,"Randomization/NRF2",-2
0.048,0.1726,0.439925975189953,6,"Randomization/NRF2",-1
0.0103,0.0495,0.460523495714934,1,"Randomization/NRF2",-1
0.0345,0.1104,0.349921788722409,4,"Randomization/NRF2",-2
0.0289,0.0982,0.330842436693613,2,"Randomization/NRF2",-2
0.0275,0.1012,0.372898032516841,2,"Randomization/NRF2",-1
0.0103,0.0526,0.416779547249955,3,"Randomization/NRF2",-1
0.0357,0.1081,0.323052949224243,4,"Randomization/NRF2",-2
0.115,0.3642,0.398679678961818,6,"Randomization/NRF2",-1
0.0324,0.138,0.468457323265318,5,"Randomization/NRF2",-1
0.0205,0.0612,0.436398761131522,4,"Randomization/NRF2",-1
0.0283,0.116,0.398117240680174,3,"Randomization/NRF2",-1
0.0279,0.1055,0.360037281488172,3,"Randomization/NRF2",-2
0.0341,0.1155,0.402033221147197,5,"Randomization/NRF2",-1
0.0166,0.0496,0.406712107187764,4,"Randomization/NRF2",-1
0.0332,0.1148,0.389297114995876,5,"Randomization/NRF2",-1
0.4533,0.6296,0.405636664374896,6,"Randomization/NRF2",-1
0.2246,0.3376,0.557637135468225,5,"Randomization/NRF2",-1
0.4799,0.5999,0.153143521846613,6,"Randomization/NRF2",-2
0.4931,0.5847,0.0678216037940649,6,"Randomization/NRF2",-3
0.4864,0.5753,0.156425936939517,6,"Randomization/NRF2",-2
0.2179,0.3296,0.129851286987287,5,"Randomization/NRF2",-3
0.4732,0.5875,0.0618767799702194,6,"Randomization/NRF2",-3
0.0527,0.1188,0.479933190941808,4,"Randomization/NRF2",-1
0.14,0.2625,0.39091605013334,5,"Randomization/NRF2",-1
0.1416,0.2435,0.379294148381319,5,"Randomization/NRF2",-1
0.1485,0.2565,0.45830449598787,5,"Randomization/NRF2",-1
0.046,0.1134,0.411893336564178,4,"Randomization/NRF2",-1
0.1373,0.2658,0.377863927496019,5,"Randomization/NRF2",-1
0.0408,0.0948,0.472480729312239,4,"Randomization/NRF2",-1
0.0435,0.094,0.47771295474584,4,"Randomization/NRF2",-1
0.0511,0.1057,0.481427115525531,4,"Randomization/NRF2",-1
0.1809,0.2882,0.572408933565619,5,"Randomization/NRF2",-1
0.0547,0.1127,0.461288549545034,4,"Randomization/NRF2",-1
0.1504,0.24,0.281905916138127,5,"Randomization/NRF2",-2
0.1452,0.2346,0.190874709199866,5,"Randomization/NRF2",-2
0.0418,0.0973,0.31026669385324,4,"Randomization/NRF2",-2
0.1446,0.2415,0.221924589276072,5,"Randomization/NRF2",-2
0.1521,0.2415,0.252110326378121,5,"Randomization/NRF2",-2
0.0462,0.0979,0.293233878834086,4,"Randomization/NRF2",-2
0.1467,0.2296,0.173516949940013,5,"Randomization/NRF2",-2
0.0501,0.1057,0.31945040888271,4,"Randomization/NRF2",-2
0.1488,0.2308,0.249546612623322,5,"Randomization/NRF2",-2
0.0465,0.104,0.294636294018052,4,"Randomization/NRF2",-2
0.2105,0.4945,0.307033418840039,7,"Randomization/NRF2",-2
0.328,0.466,0.511416262920267,6,"Randomization/NRF2",-1
0.2325,0.4977,0.254820823409012,7,"Randomization/NRF2",-2
0.2164,0.4807,0.273079748774196,6,"Randomization/NRF2",-2
0.5886,0.6893,0.0545944331364335,9,"Randomization/NRF2",-3
0.2492,0.4173,0.228392437417238,6,"Randomization/NRF2",-2
0.4384,0.5905,0.548006752710644,9,"Randomization/NRF2",-1
0.3276,0.4712,0.173363989352179,6,"Randomization/NRF2",-2
0.4265,0.5227,0.114509163380968,8,"Randomization/NRF2",-3
0.5699,0.648,0.212266481706485,10,"Randomization/NRF2",-2
0.3342,0.4803,0.164634798380613,7,"Randomization/NRF2",-2
0.4676,0.5772,0.111480580004662,8,"Randomization/NRF2",-3
0.377,0.5037,0.580476931943648,8,"Randomization/NRF2",-1
0.1585,0.4076,0.479633711651299,5,"Randomization/NRF2",-1
0.1312,0.3924,0.418534040387034,6,"Randomization/NRF2",-1
0.3775,0.5841,0.220434173604694,7,"Randomization/NRF2",-2
0.4366,0.5378,0.615404243403665,8,"Randomization/NRF2",-1
0.165,0.3307,0.556492138551298,3,"Randomization/NRF2",-1
0.3889,0.5119,0.425887091290534,8,"Randomization/NRF2",-1
0.2648,0.4209,0.363141705312807,6,"Randomization/NRF2",-2
0.2109,0.3965,0.366623117612444,4,"Randomization/NRF2",-2
0.2029,0.3527,0.436437039077536,5,"Randomization/NRF2",-1
0.2621,0.4192,0.333198729310878,6,"Randomization/NRF2",-2
0.0987,0.3958,0.452068890703561,6,"Randomization/NRF2",-1
0.1142,0.3947,0.536009592701966,5,"Randomization/NRF2",-1
0.5262,0.7536,0.43714596975658,8,"Randomization/NRF2",-1
0.206,0.4998,0.588571441522155,7,"Randomization/NRF2",-1
0.1204,0.3613,0.564821501245954,6,"Randomization/NRF2",-1
0.2221,0.5229,0.51281762094809,7,"Randomization/NRF2",-1
0.2142,0.4814,0.524904900469987,7,"Randomization/NRF2",-1
0.2007,0.4563,0.498643056177806,7,"Randomization/NRF2",-1
0.1231,0.3772,0.530954885814152,6,"Randomization/NRF2",-1
0.2174,0.5042,0.491464736705685,7,"Randomization/NRF2",-1
0.1224,0.5374,0.618156930097933,8,"Randomization/NRF2",-1
0.2312,0.5225,0.293540168809678,7,"Randomization/NRF2",-2
0.1451,0.5397,0.576584003030605,8,"Randomization/NRF2",-1
0.0732,0.3321,0.449464107407205,3,"Randomization/NRF2",-1
0.0927,0.3929,0.449430934556665,6,"Randomization/NRF2",-1
0.0895,0.3349,0.391060588503699,4,"Randomization/NRF2",-1
