ParameterIndex,miR200,ZEB,SNAIL,GRHL2
1199,-2.350629,5.109862,7.789814,3.635658
1200,7.271002,-12.488553,5.02804,8.678161
1202,8.899045,-11.15856,3.57754,6.614288
1206,4.90761,-16.035013,2.830415,6.26276
1207,7.800007,-11.892802,6.060293,5.281855
1209,-4.541114,8.405297,8.245804,-2.746141
1210,6.709629,-11.5059,6.939497,7.646645
1212,8.241334,-10.465207,4.700311,6.418016
1213,6.399809,-16.093017,5.534926,8.403148
1214,6.161451,-11.18003,3.717093,6.074538
1216,-2.741484,5.385399,6.873338,-2.374152
1217,-4.220054,4.794944,8.005568,1.226141
1218,3.550943,-12.513632,6.753451,8.441566
1222,-4.128222,8.879048,9.843335,1.230107
1223,-4.523597,5.494401,7.567821,2.207866
1224,9.081587,-13.097593,5.298088,6.221703
1225,7.864679,-8.526309,5.002995,3.358645
1228,3.467329,-9.260496,6.873434,8.555036
1229,-0.697111,5.660861,6.890435,2.602234
1233,-1.474766,5.515479,7.050573,3.618111
1234,-1.624973,6.931666,6.884073,1.316473
