Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10
119,1,1.02559252290892,0.85823433477013,-1.36696276802508,-1.3613042180181,1.10280858209102,1.02773513075118,0.4714884334873,-2.14747627599058
121,1,0.445383699557341,-1.20715484500883,0.835988474471934,0.67707257080075,-1.17678293259764,-1.12584879924764,0.747150103716762,0.368221599209559
123,1,-1.43577927993017,-1.86165291603144,1.06783450663204,1.32181901851607,-1.31101968185556,-1.16835780457511,1.0172102080329,0.411235310475009
124,1,-1.39315710740603,-1.86361744497175,1.07090690445035,1.06132297589997,-0.813732544884287,-0.770573077725875,0.750147362614639,-1.297973674362
132,1,0.0323607362472022,0.906089743199521,-0.603431833446645,-0.684888630092786,-0.518380626562925,1.65742142458036,1.13364566182272,-1.46661917184649
135,1,-0.128181127853903,-1.97530503153784,0.943009461399165,1.47192897208212,-1.1214600711631,-1.16635435286814,0.528168620050045,1.14538531374798
136,1,1.38785488134182,1.93653666661695,-0.91552827900794,-1.73511292949378,1.03059168621305,0.623800186449231,-0.536550357985491,0.152738964029515
137,1,0.259055701988233,-1.97079807607248,0.692642985217898,1.11950105803785,-1.10440992791201,-0.424901800737809,-0.420117145974958,1.32732067693054
139,1,0.065779665688046,-1.60734698535527,1.06653842749916,1.39009634915754,-1.03784242508452,-1.79592787634262,0.351143316632493,1.09799246452789
141,1,-0.1736282544816,-2.8667065675884,0.849573236623571,1.28128712187865,-1.11732040462055,0.273280122858666,-0.0738291802794673,1.65943027665842
142,1,0.143353539895926,-0.867802406423138,1.34359123660411,1.21942031776194,-1.3347646664445,-1.73907468508681,0.328547142248746,0.521832723018376
146,1,0.2262898035849,-0.809298185739498,1.64713714749361,1.38894933095782,-1.27614770675791,-0.405566933976874,1.28556303729994,0.792379321430834
147,1,0.909571776848922,1.17173538044913,-1.91610908974914,-1.67707897408989,1.09475607485045,0.99289383224406,-0.916013774743056,0.315462117573547
149,1,-0.792156383905706,-1.70713537008851,1.20096417663816,1.08990226953616,-1.80552127600985,-0.4575936895113,1.28980608496934,-0.55086034738413
153,1,0.449868330720809,1.32099760969685,-0.265948085921586,-1.89619588547553,1.13883922863881,1.1746285079179,-1.25120076969625,-0.265268228280177
158,1,-1.72508657072414,-2.18106530516106,0.710844404855445,1.03202743004659,-1.50511036966671,-0.675974666666925,1.18681586254074,-0.412516373169805
159,1,-1.52868682523035,0.350534841336495,-0.263165875407378,-1.60828370961718,1.05486572026203,0.943763886361665,-1.17922204081579,-0.153966586619002
160,1,0.689116958906609,0.0820022989456854,-0.508616424253904,-1.00220381269738,0.991734888317253,0.728642751351287,-0.633584172866107,0.368781572828374
162,1,1.71077806842803,1.29596495884317,-1.33549084228353,-1.3065302940355,1.20208315724004,0.506503439671668,-1.47925377334815,0.638893437623414
163,1,-1.26066517363879,-0.815310903403308,1.04889444904438,1.14075502394335,-2.20137867604317,-1.13265057874975,1.00708825432778,0.294490974407534
164,1,-1.65512632457403,-1.3393490789423,0.534960926172255,0.956414855755132,-1.39893930209439,-0.708484023244666,0.80764099480198,-0.973697148229404
165,1,0.648051353278563,0.554304435346574,-1.41042683169998,-1.55606348075797,0.942951897969823,1.46081088292748,-0.912012518981749,0.557832338498731
167,1,0.10786050985214,-2.11389294355411,1.06877999953836,1.01816405245692,-1.31364671224467,-1.41915128449032,0.960196316611564,0.668930383194283
172,1,0.324564365104301,-0.286695391575793,1.01628697814804,1.27515793073863,-1.39112412072352,-0.379548815113667,1.55726220252423,-1.3271103344778
173,1,0.974239034589735,0.890322178874841,-1.18043363866466,-1.50647442955434,1.02070863241897,0.659689944470339,0.397667282292538,-2.64660030250411
177,1,0.313226212859918,0.453103591432749,-0.983862847851507,-1.36641622032036,1.27355252723102,0.87280424127661,-1.45952739669748,1.06497664290283
179,1,1.36739808922549,-1.82303482921915,1.14712035378298,1.62278354200662,-0.902918366951325,-0.814071956166843,0.271856387297965,1.54152894591835
181,1,0.422368321260638,1.58231773195184,-0.255267921574384,-0.0144961560312868,-0.450967934963907,0.833160212528074,0.925924315227198,-0.622102236975129
185,1,-0.907766011235613,-0.751658874346093,-0.840457867929494,-0.417354821405648,0.863635214000882,0.339383531047518,-0.913728761147976,-0.156771372514183
188,1,-0.255659660386817,-3.28441869018688,0.0724686660107925,0.78565142590804,-1.13255189291287,-0.648208099331257,1.11532071747647,1.3751607181975
189,1,1.90331713144196,1.6327846563382,-1.16196610046654,-0.988762438184811,1.22122217296464,1.52031468549337,-0.822362804796542,-0.547867373633445
198,1,-1.7691298128137,-2.15485232270413,0.672091003004403,1.12442811691507,-1.85890454243689,-2.04667936369332,0.323769270093876,1.11548967299544
201,1,-1.07542445952788,-2.25933394609066,0.374154698803347,1.47420871110956,-1.52829872641629,-1.90600156337408,0.635347446936959,0.888409223549821
207,1,-3.19800402449171,-3.35014017372353,0.487629060824375,0.791723658162791,-1.494085090245,-1.92372174829951,0.568235300620028,1.34840656878893
208,1,0.247072450257404,-1.07416220843455,1.20738008623495,1.60941757460127,-0.572955456085175,-1.58455390041568,0.207656632520438,0.736362616198256
210,1,0.865196731539891,0.189203592306438,-0.816408878931595,-0.765320571765834,1.35583679662168,0.824981483289567,-1.45187716477607,0.483713207409648
216,1,-0.884650827588035,-1.45803503754439,1.67550148055602,1.63009733959859,-0.734223571298114,-0.869792025480209,0.75748534670771,0.466077316951019
219,1,-1.45809139403263,-3.4449663875755,1.12081185472004,1.2763711319346,-1.95263902600208,-1.88391787688605,0.555689983512801,1.25529029989618
225,1,-1.60074562759918,0.856956180279632,-1.20273174010236,-1.17995865745787,1.30319371871465,0.847641551590517,-1.20487920467981,0.0596187608958853
