ParameterIndex,miR200,ZEB,SNAIL,GRHL2,Weight
1896,1,-1,1,1,1
1898,-1,1,-1,-1,1
1900,-1,1,1,-1,1
1901,1,1,1,-1,1
1903,1,-1,-1,1,1
1905,1,-1,-1,1,1
1906,1,-1,-1,1,1
1910,1,-1,1,1,1
1918,-1,1,1,-1,1
1919,1,-1,1,1,1
1920,-1,1,1,-1,1
1923,1,-1,-1,1,1
1924,1,-1,-1,1,1
1925,1,-1,-1,1,1
1926,1,-1,-1,1,1
1927,-1,1,1,-1,1
1929,-1,1,-1,-1,1
1932,-1,1,1,-1,1
1934,1,-1,-1,1,1
1939,1,-1,1,1,1
1941,1,-1,-1,1,1
1942,-1,1,1,-1,1
1943,-1,1,-1,-1,1
1947,1,-1,1,1,1
1951,1,-1,1,1,1
1953,1,-1,-1,1,1
1954,1,-1,-1,1,1
1957,-1,-1,-1,1,1
1958,1,-1,1,1,1
1965,1,-1,-1,1,1
1966,-1,1,1,-1,1
1968,1,-1,-1,1,1
1971,-1,1,1,1,1
1972,-1,1,1,-1,1
1974,1,-1,1,1,1
1977,-1,1,1,-1,1
1980,1,-1,1,1,1
1985,1,-1,-1,1,1
1989,-1,1,-1,-1,1
1990,-1,1,1,-1,1
1996,1,-1,-1,1,1
1997,-1,1,-1,-1,1
1998,-1,1,1,-1,1
1999,-1,1,1,-1,1
2000,-1,1,1,-1,1
2002,1,-1,1,1,1
2003,1,-1,1,1,1
2004,-1,1,1,-1,1
2005,-1,1,-1,-1,1
2006,-1,1,1,-1,1
2009,-1,1,-1,1,1
2012,1,-1,-1,1,1
2014,-1,1,-1,-1,1
2016,-1,1,1,-1,1
2018,-1,1,-1,-1,1
2019,1,-1,-1,1,1
2022,-1,1,-1,-1,1
2023,1,-1,-1,1,1
2026,1,-1,1,1,1
2029,1,-1,1,1,1
2030,-1,-1,1,1,1
2031,-1,1,-1,-1,1
2032,-1,1,-1,-1,1
2036,1,-1,-1,1,1
2037,-1,1,-1,-1,1
2039,1,-1,-1,1,1
2040,-1,1,1,-1,1
2041,-1,1,1,-1,1
2043,1,-1,1,1,1
2045,1,-1,-1,1,1
2049,-1,1,1,-1,1
2051,1,-1,-1,1,1
2052,-1,1,-1,1,1
2053,1,-1,-1,1,1
2055,-1,1,1,-1,1
2057,-1,1,-1,-1,1
2058,1,-1,-1,1,1
2060,-1,1,1,-1,1
2061,1,1,-1,-1,1
2062,1,-1,-1,1,1
2066,-1,1,1,-1,1
2068,1,-1,1,1,1
2071,1,-1,-1,1,1
2072,1,-1,-1,1,1
2073,-1,1,-1,-1,1
2074,-1,1,-1,-1,1
2075,1,-1,-1,1,1
2077,-1,1,1,-1,1
2078,1,-1,1,-1,1
2079,1,-1,-1,1,1
2080,1,-1,1,1,1
2082,-1,1,1,-1,1
2085,1,-1,-1,1,1
2088,1,-1,1,1,1
2089,1,-1,-1,1,1
2090,-1,1,1,-1,1
2093,1,-1,-1,1,1
2095,-1,1,-1,1,1
2100,1,-1,-1,1,1
