,Cycles,Nature,Edge_count
107,"TWIST1,ZEB2,miR-200a,ZEB1,miR-141,TGF-beta,SNAI1,SNAI2,TWIST2",P,9
108,"TWIST1,ZEB2,miR-200a,ZEB1,miR-141,TGF-beta,GSC",P,7
109,"TWIST1,ZEB2,miR-200a,ZEB1,miR-141,TGF-beta,GSC,SNAI1,miR-34a,TWIST2",P,10
110,"TWIST1,ZEB2,miR-200a,ZEB1,miR-141,TGF-beta,GSC,SNAI1,miR-34a,SNAI2,TWIST2",P,11
111,"TWIST1,ZEB2,miR-200a,ZEB1,miR-141,TGF-beta,GSC,SNAI1",P,8
112,"TWIST1,ZEB2,miR-200a,ZEB1,miR-141,TGF-beta,GSC,SNAI1,SNAI2,TWIST2",P,10
113,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI2,miR-200b,ZEB1,miR-34a,TWIST2",P,9
114,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI2,miR-200b,ZEB1,miR-34a,TWIST2,SNAI1",P,10
115,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI2,miR-200b,ZEB1,miR-34a,SNAI1",P,9
116,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI2,miR-101,SNAI1,miR-34a,TWIST2",P,9
117,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI2,miR-101,SNAI1,ZEB1,miR-34a,TWIST2",P,10
118,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI2,miR-101,SNAI1",P,7
119,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI2,miR-101,SNAI1,FOXC2,ZEB1,miR-34a,TWIST2",P,11
120,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI2,miR-101,ZEB1,miR-34a,TWIST2",P,9
121,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI2,miR-101,ZEB1,miR-34a,TWIST2,SNAI1",P,10
122,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI2,miR-101,ZEB1,miR-34a,SNAI1",P,9
123,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI2,TWIST2,ZEB1,miR-34a,SNAI1",P,9
124,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI2,TWIST2",P,6
125,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI2,TWIST2,SNAI1",P,7
126,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI1,miR-101,ZEB1,miR-34a,TWIST2",P,9
127,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI1,miR-101,ZEB1,miR-34a,SNAI2,TWIST2",P,10
128,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI1,miR-34a,TWIST2",P,7
129,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI1,miR-34a,SNAI2,TWIST2",P,8
130,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI1,ZEB1,miR-34a,TWIST2",P,8
131,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI1,ZEB1,miR-34a,SNAI2,TWIST2",P,9
132,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI1",P,5
133,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI1,SNAI2,miR-200b,ZEB1,miR-34a,TWIST2",P,10
134,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI1,SNAI2,miR-101,ZEB1,miR-34a,TWIST2",P,10
135,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI1,SNAI2,TWIST2",P,7
136,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI1,FOXC2,ZEB1,miR-34a,TWIST2",P,9
137,"TWIST1,ZEB2,miR-200c,TGF-beta,SNAI1,FOXC2,ZEB1,miR-34a,SNAI2,TWIST2",P,10
138,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,ZEB1,miR-34a,TWIST2",P,8
139,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,ZEB1,miR-34a,TWIST2,SNAI2,miR-101,SNAI1",P,11
140,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,ZEB1,miR-34a,TWIST2,SNAI1",P,9
141,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,ZEB1,miR-34a,SNAI2,miR-101,SNAI1",P,10
142,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,ZEB1,miR-34a,SNAI2,TWIST2",P,9
143,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,ZEB1,miR-34a,SNAI2,TWIST2,SNAI1",P,10
144,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,ZEB1,miR-34a,SNAI1",P,8
145,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,ZEB1,miR-34a,SNAI1,SNAI2,TWIST2",P,10
146,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,FOXC2,ZEB1,miR-34a,TWIST2",P,9
147,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,FOXC2,ZEB1,miR-34a,TWIST2,SNAI2,miR-101,SNAI1",P,12
148,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,FOXC2,ZEB1,miR-34a,TWIST2,SNAI1",P,10
149,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,FOXC2,ZEB1,miR-34a,SNAI2,miR-101,SNAI1",P,11
150,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,FOXC2,ZEB1,miR-34a,SNAI2,TWIST2",P,10
151,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,FOXC2,ZEB1,miR-34a,SNAI2,TWIST2,SNAI1",P,11
152,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,FOXC2,ZEB1,miR-34a,SNAI1",P,9
153,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC,FOXC2,ZEB1,miR-34a,SNAI1,SNAI2,TWIST2",P,11
154,"TWIST1,ZEB2,miR-200c,TGF-beta,GSC",P,5
