Boolean,JSD,heatmap,data
 ,GRHL2-GRHL2_0-1,WT,ZEB-miR200_2-1,GRHL2-GRHL2_0-2,miR200-miR200_0-1,miR200-ZEB_2-0,miR200-ZEB_2-1,SNAIL-SNAIL_0-1,ZEB-miR200_2-0,ZEB-ZEB_1-0,ZEB-ZEB_1-2,ZEB-GRHL2_2-0,ZEB-GRHL2_2-1,SNAIL-GRHL2_0-1,SNAIL-GRHL2_0-2,GRHL2-ZEB_2-0,GRHL2-ZEB_2-1,SNAIL-ZEB_1-2,GRHL2-miR200_0-1,GRHL2-SNAIL_0-2,GRHL2-miR200_0-2,GRHL2-SNAIL_0-1,SNAIL-ZEB_0-1,miR200-GRHL2_0-1,SNAIL-ZEB_0-2,SNAIL-ZEB_1-0,miR200-GRHL2_0-2,miR200-miR200_0-2,miR200-SNAIL_0-1,miR200-SNAIL_0-2,SNAIL-miR200_2-0,SNAIL-miR200_2-1
SNAIL-ZEB_0-2,0.21999049170846474,0.005016511726919921,0.12169049080213791,0.005415037232528888,0.0043278263259850635,0.003645802193008028,0.00024178569027411652,0.005164975760583406,0.01759994416281248,0.14177426121527503,0.14171366620344142,0.22253833449128002,1.0,0.1370619577617697,0.07635742975848439,0.14167474063630894,0.1416715334342416,3.113040716293161e-05,0.1416687289195045,0.14166484630610585,0.03314462150256964,0.000231553292486566,0.004429299314910979,0.022020631617907568,0.0,0.005469060805701306,0.17717169176716252,0.14167638808352007,0.1417437634707701,0.0009190775648324758,0.1417104025671586,0.0001241653772150542
SNAIL-ZEB_1-0,0.21857501726568265,9.274905315031622e-05,0.17455149769036016,3.436613171058436e-05,9.614970261144625e-05,0.0002320723937339706,0.00479729535686901,1.9138006503142675e-05,0.04197377410871303,0.0992192220086647,0.09916860436236113,0.22075460922608348,1.0,0.1409765170751465,0.0653122618743674,0.09914200045158737,0.0991616941278017,0.004760185819204026,0.09913986517257958,0.09914776173936549,0.06438471671736748,0.007792952085488431,0.0001298779164667389,0.005843619014469335,0.005469060805701304,0.0,0.18484153045873647,0.09916975622505661,0.09919310324445832,0.010646904582295884,0.09916606688440603,0.0041094698779947005
miR200-GRHL2_0-2,0.0068477941680478785,0.1841622497648402,0.26258299556926745,0.18469935926123066,0.18345545307256478,0.18265137727887676,0.17746730298327715,0.18443984070429298,0.18606323108604042,0.3159128577162433,0.3158935309288462,0.007506699128757175,0.4814836005369292,0.004393011408190747,0.05556998910797938,0.31589352018840977,0.31593943749321923,0.17737150190714865,0.3158976589803816,0.3159197930086276,0.1967759277216037,0.17666466096770456,0.18351150151322188,0.20142800737106004,0.17717169176716252,0.18484153045873647,0.0,0.3159493927602624,0.3159017820110004,0.17668645916571585,0.31589288607671984,0.17768371703138378
miR200-miR200_0-2,0.31377217376553707,0.1006031155035196,0.4518377077020891,0.09904187563267966,0.10338222050348073,0.10651317760156948,0.13808690819514358,0.10025783108951222,0.23802679174027735,0.00023074995796432823,0.0001311830020892333,0.31426480632302545,1.0,0.2627748221310469,0.13750463339204988,5.441837967045402e-05,6.998008669045872e-07,0.13844264667834705,3.828916135147076e-05,7.785816563368091e-06,0.280761427536483,0.15049111629503759,0.10284445372777631,0.06341596933811842,0.14167638808352007,0.09916975622505661,0.3159493927602624,0.0,0.00018202937131358427,0.1610417955067068,0.0001254114971525784,0.13568210148088589
miR200-SNAIL_0-1,0.31366006671767105,0.10054326076391616,0.45172697066522094,0.09909802581745664,0.10332768363529965,0.10639918330849918,0.13777899559539153,0.10019541799951537,0.2378102665772442,2.8857539955226986e-06,4.1551578418730795e-06,0.31413740051931066,1.0,0.26273424990655037,0.13745463502395672,3.739512814350055e-05,0.0001601574937022815,0.1384661148715631,5.335153947760808e-05,0.00011452548685718725,0.28071219798792085,0.15048080136166647,0.10281393856664006,0.06325769696426849,0.1417437634707701,0.09919310324445832,0.31590178201100044,0.00018202937131358427,0.0,0.16092718128310768,5.258852001214002e-06,0.1356214725205446
miR200-SNAIL_0-2,0.22284645710586262,0.01001578182669706,0.10271944716394865,0.010631400473129523,0.00902052856239414,0.007976558412035447,0.0013408927245205883,0.010188457548125841,0.010601456887731661,0.1609342322763871,0.16092506204306767,0.2255272275182227,1.0,0.1380924896592835,0.08351386160553484,0.1609415768583542,0.16102587636966464,0.0012361343064168692,0.1609516061203915,0.1609932346315086,0.023362609321957755,0.00031913980617468037,0.009198495178761012,0.03138741366134065,0.0009190775648324767,0.010646904582295875,0.17668645916571588,0.1610417955067068,0.16092718128310768,0.0,0.16092528355525346,0.0015436638233917097
SNAIL-miR200_2-0,0.3136620690586995,0.10053040323445024,0.45173273716698825,0.09906541116018264,0.10331399744162245,0.10639568672021235,0.13780931697836923,0.10018298593835404,0.23782784762174475,1.5935776773848276e-05,6.492236923901591e-08,0.314142017057941,1.0,0.26272263198824425,0.13744110708617824,1.4607343746673518e-05,0.00010737560584098051,0.13844012708783104,2.511036360908908e-05,7.070305647225794e-05,0.2807025657484905,0.1504608864426284,0.10279615533218353,0.06326056985281826,0.1417104025671586,0.09916606688440603,0.31589288607671984,0.0001254114971525784,5.258852001214002e-06,0.16092528355525343,0.0,0.1356097012717358
SNAIL-miR200_2-1,0.21929084637069773,0.003724838231757713,0.12815815075787115,0.0040944993068104205,0.0031181957302617407,0.0025220621804978097,0.00012325117203768098,0.0038247754077344823,0.020151752918074407,0.1356360216556185,0.1356105626971419,0.22178859666915773,1.0,0.1370215798927592,0.0743062915013586,0.1356101738589822,0.13566924179914844,4.5800154227161344e-05,0.13561544293184358,0.13564389373494012,0.03667798000215853,0.000624784865924809,0.0032298127096304172,0.01923602046947361,0.00012416537721505376,0.004109469877994697,0.17768371703138375,0.13568210148088589,0.1356214725205446,0.0015436638233917088,0.1356097012717358,0.0

RACIPE,JSD,heatmap,data
 ,GRHL2-GRHL2_0-1,WT,ZEB-miR200_2-1,GRHL2-GRHL2_0-2,miR200-miR200_0-1,miR200-ZEB_2-0,miR200-ZEB_2-1,SNAIL-SNAIL_0-1,ZEB-miR200_2-0,ZEB-ZEB_1-0,ZEB-ZEB_1-2,ZEB-GRHL2_2-0,ZEB-GRHL2_2-1,SNAIL-GRHL2_0-1,SNAIL-GRHL2_0-2,GRHL2-ZEB_2-0,GRHL2-ZEB_2-1,SNAIL-ZEB_1-2,GRHL2-miR200_0-1,GRHL2-SNAIL_0-2,GRHL2-miR200_0-2,GRHL2-SNAIL_0-1,SNAIL-ZEB_0-1,miR200-GRHL2_0-1,SNAIL-ZEB_0-2,SNAIL-ZEB_1-0,miR200-GRHL2_0-2,miR200-miR200_0-2,miR200-SNAIL_0-1,miR200-SNAIL_0-2,SNAIL-miR200_2-0,SNAIL-miR200_2-1
GRHL2-GRHL2_0-1,0.0,0.011249544730757392,0.22113187810889906,0.01416958217246483,0.011974882801171963,0.010293570943668933,0.033521491085690566,0.007894141527693516,0.4716777492917599,0.008233057616274738,0.03227725314831617,0.12224962503660966,0.431608089656234,0.009388062663611866,0.004826043980452532,0.006820748285953427,0.016212515602088962,0.011774373153799497,0.027044836322768717,0.029767509655469496,0.041721847364084894,0.019147700844558593,0.01505256839059797,0.015251217203185728,0.009455541277564872,0.012459629830841146,0.06881669610565316,0.034566435182930316,0.01477063614164926,0.01697308189416379,0.02785150789285911,0.013531134863021956
WT,0.011249544730757396,0.0,0.2481815551081778,0.035912640359054795,0.0018020227941332987,0.004091393224317577,0.0476032298489622,0.003644589539462878,0.5629782925170591,0.0055603031541393184,0.053165034871395275,0.18484660771502676,0.5295890238052553,0.03037430039265322,0.004429400661884246,0.003280658677870073,0.030042338049286056,0.0035163565200672007,0.009520634628978345,0.010306316767561193,0.04082409118835686,0.03024506003989686,0.001038053821398594,0.008050548793386812,0.001981603767093239,0.0013577679612617566,0.11880336213689308,0.02565510380877284,0.016108622725304084,0.005706083979737608,0.011210028242051067,0.004200706532192618
ZEB-miR200_2-1,0.22113187810889912,0.24818155510817783,0.0,0.22718848321614354,0.2396688630328797,0.20642681148256642,0.11158328312255819,0.2538662873269444,0.23374315094721737,0.23180918636398193,0.16801539598428797,0.2538491088220936,0.38347028902007924,0.20849899308753483,0.2550956178011974,0.2509588477561052,0.18903719895623006,0.2091553978442093,0.30240144200504604,0.33492293582744337,0.09915157069548139,0.14318146118860015,0.2752032853902061,0.2646152736077816,0.21975032794061655,0.22622440377085323,0.20479105698826416,0.13436576447726187,0.16375835857470428,0.30463885529975937,0.33468184377616317,0.19905193474097033
GRHL2-GRHL2_0-2,0.014169582172464834,0.03591264035905481,0.22718848321614354,0.0,0.03332950667070242,0.03169749053280016,0.04541969895479993,0.033115273833386485,0.40418001243495405,0.021971326934102274,0.03056979718224665,0.06916635876265106,0.34710122784847103,0.0022847163079338707,0.018549380023823184,0.02893538423137448,0.02057908410525576,0.03777374556729307,0.045560268139403934,0.05438324942025819,0.06406032251702574,0.03596462119794978,0.039707196158486904,0.04799518586268149,0.03292794387243515,0.03679931592403683,0.030120054605701663,0.058552505521280634,0.03536102774059314,0.04342376850105974,0.049979643157679936,0.03850103158019506
miR200-miR200_0-1,0.011974882801171965,0.0018020227941332977,0.2396688630328797,0.03332950667070242,0.0,0.003868214632446217,0.04665588860322962,0.005646884791963392,0.5472157991988874,0.005863240110125401,0.04832399738153709,0.17639790200091748,0.5155256293556159,0.02913542827352917,0.0047364039329572186,0.004334059212659867,0.027130458893783533,0.0071055874923613635,0.00654861866054434,0.011963219225053119,0.03720907449690477,0.032154420089324495,0.0034721758628785846,0.009452445449520145,0.004621947398561567,0.0024116280657829536,0.11347338010252862,0.021735620544749236,0.01847059990891965,0.008129388235092138,0.015642704589370154,0.006345178413222987
